# number of destination LPs (sorted by largest messages sent to) to cover percentage of total events
# LP name, total events sent, num of LPs to cover: 75, 80, 90, 95, and 100 percent of the total events sent.
"8192", 1882, 1, 1, 1, 1, 1
"914", 1464, 1, 1, 1, 1, 1
"56070", 5, 1, 1, 1, 1, 1
"9603", 1651, 1, 1, 1, 1, 1
"54683", 1506, 1, 1, 1, 1, 1
"18148", 7, 1, 1, 1, 1, 1
"40816", 1295, 1, 1, 1, 1, 1
"20114", 6, 1, 1, 1, 1, 1
"18626", 0, 1, 1, 1, 1, 1
"10391", 2, 1, 1, 1, 1, 1
"23951", 1606, 1, 1, 1, 1, 1
"5782", 25, 2, 2, 2, 2, 2
"61544", 1972, 1, 1, 1, 1, 1
"61155", 0, 1, 1, 1, 1, 1
"34576", 2, 1, 1, 1, 1, 1
"42133", 5, 1, 1, 1, 1, 1
"52354", 2, 1, 1, 1, 1, 1
"33281", 1435, 1, 1, 1, 1, 1
"7134", 2218, 1, 1, 1, 1, 1
"11969", 14, 1, 2, 2, 3, 3
"1266", 116, 1, 1, 1, 1, 3
"49681", 1449, 1, 1, 1, 1, 1
"28487", 1419, 1, 1, 1, 1, 1
"12729", 1751, 1, 1, 1, 1, 1
"24961", 1592, 1, 1, 1, 1, 1
"21099", 5, 1, 1, 1, 1, 1
"37158", 0, 1, 1, 1, 1, 1
"3847", 1406, 82, 97, 138, 186, 256
"219", 0, 1, 1, 1, 1, 1
"38796", 1337, 1, 1, 1, 1, 1
"18666", 21, 1, 1, 2, 2, 2
"22460", 1476, 1, 1, 1, 1, 1
"18853", 1355, 1, 1, 1, 1, 1
"24308", 16, 1, 1, 2, 3, 3
"30251", 1659, 1, 1, 1, 1, 1
"19623", 1, 1, 1, 1, 1, 1
"4409", 1395, 1, 1, 1, 1, 1
"48591", 1560, 1, 1, 1, 1, 1
"7471", 1504, 1, 1, 1, 1, 1
"9761", 0, 1, 1, 1, 1, 1
"30331", 1, 1, 1, 1, 1, 1
"10392", 16, 2, 3, 3, 3, 3
"58194", 1, 1, 1, 1, 1, 1
"25618", 1429, 1, 1, 1, 1, 1
"25903", 1, 1, 1, 1, 1, 1
"13451", 6, 1, 1, 1, 1, 1
"46895", 1, 1, 1, 1, 1, 1
"23021", 1564, 1, 1, 1, 1, 1
"22412", 1423, 1, 1, 1, 1, 1
"38580", 6, 1, 1, 1, 1, 1
"19498", 2, 1, 1, 1, 1, 1
"20577", 1, 1, 1, 1, 1, 1
"45929", 1666, 1, 1, 1, 1, 1
"13771", 1474, 1, 1, 1, 1, 1
"38696", 7, 1, 1, 1, 1, 1
"33297", 1441, 1, 1, 1, 1, 1
"28119", 1424, 1, 1, 1, 1, 1
"17779", 1686, 1, 1, 1, 1, 1
"26147", 1385, 1, 1, 1, 1, 1
"48623", 1597, 1, 1, 1, 1, 1
"18689", 1, 1, 1, 1, 1, 1
"58290", 1348, 1, 1, 1, 1, 1
"47581", 1114, 1, 1, 1, 1, 1
"559", 0, 1, 1, 1, 1, 1
"56455", 9, 2, 3, 3, 3, 3
"57761", 1501, 1, 1, 1, 1, 1
"59120", 0, 1, 1, 1, 1, 1
"54065", 0, 1, 1, 1, 1, 1
"28218", 3, 1, 1, 1, 1, 1
"57312", 1268, 1, 1, 1, 1, 1
"19270", 1667, 1, 1, 1, 1, 1
"4299", 1, 1, 1, 1, 1, 1
"60161", 8, 1, 1, 1, 1, 1
"19462", 1915, 1, 1, 1, 1, 1
"54875", 1704, 1, 1, 1, 1, 1
"65087", 1858, 1, 1, 1, 1, 1
"23715", 0, 1, 1, 1, 1, 1
"26867", 2, 1, 1, 1, 1, 1
"3648", 0, 1, 1, 1, 1, 1
"61777", 40, 1, 1, 1, 1, 1
"8561", 1953, 1, 1, 1, 1, 1
"29513", 1472, 1, 1, 1, 1, 1
"32016", 1, 1, 1, 1, 1, 1
"41473", 1782, 1, 1, 1, 1, 1
"38940", 1459, 1, 1, 1, 1, 1
"12444", 2, 2, 2, 2, 2, 2
"36011", 6, 1, 1, 1, 1, 1
"9571", 1614, 1, 1, 1, 1, 1
"51912", 0, 1, 1, 1, 1, 1
"3463", 1561, 1, 1, 1, 1, 1
"60438", 1323, 1, 1, 1, 1, 1
"6477", 1749, 1, 1, 1, 1, 1
"8304", 10, 2, 2, 2, 3, 3
"5683", 0, 1, 1, 1, 1, 1
"30523", 2034, 66, 82, 129, 173, 256
"22973", 1510, 1, 1, 1, 1, 1
"5647", 3, 1, 1, 1, 1, 1
"18260", 1396, 1, 1, 1, 1, 1
"4249", 0, 1, 1, 1, 1, 1
"39589", 0, 1, 1, 1, 1, 1
"51472", 3, 1, 1, 1, 1, 1
"45945", 1696, 1, 1, 1, 1, 1
