# summary of local and remote events executed
# LP, local, remote, total
"24091", 600, 1746, 2346
"53284", 506, 1491, 1997
"40072", 1, 0, 1
"21206", 1, 0, 1
"22814", 1, 0, 1
"33758", 513, 1538, 2051
"36024", 1, 0, 1
"25486", 443, 1317, 1760
"6339", 1, 3, 4
"24428", 517, 1645, 2162
"46264", 1, 0, 1
"8605", 606, 2015, 2621
"12025", 1, 2, 3
"45941", 510, 1684, 2194
"17159", 1, 0, 1
"37237", 481, 1452, 1933
"54924", 1, 4, 5
"63831", 1, 0, 1
"54759", 507, 1588, 2095
"16157", 1, 0, 1
"3588", 564, 1695, 2259
"42129", 1, 1, 2
"4437", 459, 1419, 1878
"28996", 373, 1058, 1431
"48790", 1, 3, 4
"25053", 550, 1700, 2250
"34934", 1, 1, 2
"14011", 1, 2, 3
"48798", 1, 3, 4
"62037", 625, 2023, 2648
"13703", 481, 1401, 1882
"40988", 530, 1458, 1988
"45076", 583, 1793, 2376
"40507", 590, 1758, 2348
"60269", 1, 0, 1
"45301", 1, 0, 1
"21159", 1, 12, 13
"19394", 567, 1831, 2398
"13979", 1, 3, 4
"62422", 549, 1811, 2360
"8225", 1, 0, 1
"21350", 560, 1984, 2544
"47960", 1, 5, 6
"59392", 591, 2009, 2600
"19010", 1, 1, 2
"9005", 498, 1692, 2190
"44932", 496, 1622, 2118
"29800", 1, 4, 5
"21597", 1, 6, 7
"25005", 521, 1643, 2164
"8429", 1, 0, 1
"5659", 1, 0, 1
"31803", 590, 1810, 2400
"37269", 506, 1487, 1993
"55672", 409, 1244, 1653
"12436", 1, 7, 8
"33261", 495, 1416, 1911
"25380", 1, 0, 1
"18028", 1, 0, 1
"27369", 1, 1, 2
"47561", 406, 1100, 1506
"40491", 584, 1733, 2317
"18416", 550, 1555, 2105
"6088", 585, 1872, 2457
"21223", 1, 2, 3
"32812", 521, 1450, 1971
"45677", 1, 4, 5
"56953", 1, 4, 5
"55240", 457, 1267, 1724
"56998", 1, 0, 1
"33245", 492, 1393, 1885
"4868", 1, 1, 2
"22889", 482, 1408, 1890
"43094", 1, 7, 8
"58366", 494, 1421, 1915
"11483", 1, 0, 1
"56731", 491, 1605, 2096
"55175", 420, 1218, 1638
"63752", 1, 14, 15
"29816", 1, 5, 6
"9943", 1, 0, 1
"4862", 1, 0, 1
"57324", 461, 1282, 1743
"33855", 557, 1624, 2181
"43760", 1, 0, 1
"25470", 435, 1299, 1734
"28483", 450, 1414, 1864
"1708", 1, 1, 2
"58398", 508, 1457, 1965
"18571", 1, 0, 1
"59757", 1, 0, 1
"18124", 1, 31, 32
"34223", 476, 1415, 1891
"22536", 537, 1558, 2095
"23530", 483, 1441, 1924
"54326", 513, 1440, 1953
"56082", 1, 0, 1
"31273", 552, 1524, 2076
"9243", 1, 0, 1
"4632", 1, 10, 11
"49084", 467, 1362, 1829
"44531", 598, 1951, 2549
"64240", 1, 13, 14
"32123", 540, 1820, 2360
"12903", 1, 9, 10
"36820", 500, 1538, 2038
"42250", 1, 20, 21
"48756", 1, 2, 3
"24925", 479, 1541, 2020
"24395", 502, 1604, 2106
"8915", 1, 0, 1
"26685", 1, 2, 3
"41725", 1, 12, 13
"20520", 1, 12, 13
"53733", 550, 1752, 2302
"21543", 673, 2279, 2952
"41886", 489, 1578, 2067
"39769", 386, 1178, 1564
"54041", 1, 4, 5
"36852", 516, 1569, 2085
"29835", 1, 6, 7
"15084", 1, 0, 1
"19005", 1, 4, 5
"38952", 518, 1478, 1996
"21650", 1, 1, 2
"31658", 517, 1649, 2166
"17903", 599, 1859, 2458
"17374", 509, 1381, 1890
"58218", 1, 0, 1
"61207", 1, 0, 1
"3571", 554, 1682, 2236
"27743", 1, 0, 1
"64538", 484, 1373, 1857
"54214", 460, 1343, 1803
"52877", 1, 6, 7
"16220", 447, 1395, 1842
"13444", 1, 1, 2
"27239", 1, 0, 1
"26795", 1, 2, 3
"19795", 436, 1220, 1656
"62196", 1, 4, 5
"34255", 493, 1439, 1932
"3362", 450, 1452, 1902
"42683", 1, 5, 6
"1585", 1, 7, 8
"6881", 1, 44, 45
"45525", 494, 1463, 1957
"63944", 513, 1700, 2213
"2562", 690, 2365, 3055
"24379", 487, 1587, 2074
"57034", 1, 10, 11
"47625", 428, 1134, 1562
"6920", 1, 1, 2
"12989", 1, 1, 2
"39087", 1, 8, 9
"12677", 548, 1679, 2227
"44595", 635, 2038, 2673
"46866", 1, 0, 1
"31241", 536, 1496, 2032
"5062", 514, 1508, 2022
"51449", 1, 2, 3
"37575", 1, 10, 11
"44098", 620, 1977, 2597
"7917", 1, 4, 5
"19907", 488, 1301, 1789
"17487", 1, 1, 2
"18304", 498, 1441, 1939
"37253", 495, 1470, 1965
"28903", 1, 0, 1
"21186", 1, 3, 4
"55435", 1, 5, 6
"31594", 484, 1569, 2053
"5927", 491, 1655, 2146
"27401", 1, 1, 2
"34536", 1, 1, 2
"61444", 579, 1846, 2425
"29849", 1, 12, 13
"4998", 484, 1438, 1922
"33677", 470, 1458, 1928
"48732", 592, 1716, 2308
"26431", 480, 1569, 2049
"2081", 1, 4, 5
"429", 525, 1568, 2093
"1269", 1, 0, 1
"44741", 1, 1, 2
"17043", 1, 2, 3
"26015", 440, 1284, 1724
"9198", 615, 1967, 2582
"29856", 1, 0, 1
"708", 1, 5, 6
"38407", 548, 1541, 2089
"12260", 618, 2066, 2684
"26748", 1, 11, 12
"58462", 535, 1504, 2039
"13751", 510, 1457, 1967
"60230", 1, 4, 5
"6250", 1, 6, 7
"61909", 541, 1840, 2381
"34175", 451, 1369, 1820
"3712", 1, 12, 13
"54114", 1, 0, 1
"13467", 1, 17, 18
"22360", 447, 1372, 1819
"39785", 389, 1186, 1575
"31946", 1, 11, 12
"18685", 1, 4, 5
"59195", 1, 0, 1
"60931", 518, 1560, 2078
"40395", 525, 1619, 2144
"42398", 549, 1946, 2495
"10015", 360, 994, 1354
"46680", 484, 1252, 1736
"48945", 1, 0, 1
"11482", 1, 1, 2
"29322", 1, 3, 4
"22309", 1, 12, 13
"52242", 568, 1780, 2348
"37189", 1, 4, 5
"16268", 467, 1434, 1901
"33822", 542, 1587, 2129
"51483", 1, 13, 14
"46420", 1, 3, 4
"8140", 579, 1814, 2393
"48683", 565, 1663, 2228
"45158", 1, 0, 1
"23578", 502, 1475, 1977
"36836", 511, 1555, 2066
"39699", 1, 16, 17
"32861", 1, 0, 1
"56747", 493, 1623, 2116
"36456", 1, 0, 1
"20356", 579, 2070, 2649
"58222", 1, 2, 3
"46225", 1, 0, 1
"55191", 433, 1230, 1663
"56201", 492, 1595, 2087
"2137", 1, 1, 2
"42180", 1, 0, 1
"33406", 1, 5, 6
"46502", 398, 1125, 1523
"32187", 580, 1913, 2493
"54262", 489, 1389, 1878
"29509", 454, 1467, 1921
"65148", 627, 1934, 2561
"18203", 1, 0, 1
"35626", 1, 0, 1
"21076", 1, 1, 2
"4810", 1, 3, 4
"33774", 525, 1550, 2075
"46770", 1, 0, 1
"40892", 476, 1359, 1835
"3235", 1, 0, 1
"23562", 498, 1465, 1963
"55082", 1, 2, 3
"54823", 537, 1648, 2185
"15450", 1, 6, 7
"54839", 545, 1662, 2207
"53845", 617, 1893, 2510
"4517", 500, 1504, 2004
"60648", 1, 3, 4
"17179", 1, 0, 1
"53486", 1, 2, 3
"64955", 514, 1683, 2197
"43441", 529, 1690, 2219
"52485", 1, 2, 3
"56573", 1, 12, 13
"28515", 470, 1451, 1921
"10444", 1, 0, 1
"50045", 506, 1711, 2217
"8849", 1, 0, 1
"43794", 1, 0, 1
"17261", 453, 1269, 1722
"41950", 527, 1657, 2184
"36291", 607, 2208, 2815
"50029", 495, 1686, 2181
"44628", 660, 2081, 2741
"17614", 1, 0, 1
"8872", 1, 0, 1
"14959", 1, 1, 2
"5791", 1, 0, 1
"61092", 1, 0, 1
"17871", 579, 1813, 2392
"14216", 575, 2077, 2652
"37682", 1, 0, 1
"38045", 1, 0, 1
"17406", 524, 1410, 1934
"7291", 1, 0, 1
"57388", 494, 1333, 1827
"18929", 504, 1412, 1916
"13831", 545, 1524, 2069
"18881", 486, 1377, 1863
"24636", 1, 0, 1
"747", 1, 1, 2
"27912", 1, 21, 22
"60338", 437, 1243, 1680
"12148", 552, 1911, 2463
"2632", 1, 0, 1
"10390", 1, 0, 1
"33645", 456, 1420, 1876
"6909", 1, 0, 1
"22174", 1, 0, 1
"62870", 411, 1227, 1638
"61957", 578, 1920, 2498
"2384", 572, 2049, 2621
"62854", 399, 1210, 1609
"7563", 537, 1613, 2150
"42576", 668, 2230, 2898
"33410", 1, 6, 7
"34579", 1, 0, 1
"21672", 1, 3, 4
"63528", 474, 1350, 1824
"18137", 1, 5, 6
"48269", 1, 0, 1
"39753", 1, 0, 1
"31145", 491, 1411, 1902
"7786", 1, 9, 10
"26127", 490, 1373, 1863
"28939", 1, 0, 1
"17390", 515, 1396, 1911
"55336", 493, 1331, 1824
"35890", 540, 1510, 2050
"25697", 1, 4, 5
"22680", 1, 2, 3
"39401", 634, 2214, 2848
"6786", 1, 0, 1
"53156", 448, 1381, 1829
"46879", 1, 3, 4
"38824", 459, 1352, 1811
"32857", 1, 0, 1
"1716", 1, 1, 2
"56217", 506, 1618, 2124
"14535", 1, 12, 13
"26960", 433, 1261, 1694
"45989", 539, 1748, 2287
"35794", 492, 1432, 1924
"16684", 402, 1163, 1565
"14232", 586, 2103, 2689
"50784", 515, 1350, 1865
"30820", 1, 3, 4
"18636", 1, 3, 4
"8637", 628, 2062, 2690
"18139", 1, 0, 1
"52557", 1, 10, 11
"7733", 1, 10, 11
"34439", 1, 1, 2
"5314", 1, 0, 1
"56795", 527, 1681, 2208
"21201", 1, 31, 32
"3555", 548, 1660, 2208
"32780", 507, 1420, 1927
"2497", 651, 2253, 2904
"6649", 614, 1976, 2590
"25230", 1, 7, 8
"3186", 1, 6, 7
"37349", 550, 1566, 2116
"2065", 1, 0, 1
"42896", 405, 1168, 1573
"52973", 1, 1, 2
"57292", 447, 1259, 1706
"51929", 1, 7, 8
"6684", 1, 12, 13
"45957", 521, 1709, 2230
"21830", 443, 1380, 1823
"51336", 1, 6, 7
"55223", 448, 1254, 1702
"15274", 407, 1132, 1539
"63218", 1, 3, 4
"59263", 503, 1806, 2309
"1920", 428, 1147, 1575
"11796", 688, 2334, 3022
"11877", 1, 0, 1
"37878", 586, 1948, 2534
"595", 1, 6, 7
"35986", 1, 12, 13
"37565", 1, 0, 1
"17089", 1, 0, 1
"46823", 1, 0, 1
"46228", 1, 1, 2
"64490", 464, 1338, 1802
"14947", 1, 4, 5
"46647", 463, 1221, 1684
"26111", 486, 1365, 1851
"20452", 634, 2234, 2868
"25630", 513, 1436, 1949
"5196", 1, 5, 6
"64343", 1, 34, 35
"41453", 569, 1751, 2320
"3690", 1, 3, 4
"10421", 1, 0, 1
"16733", 425, 1211, 1636
"24973", 504, 1603, 2107
"25297", 1, 4, 5
"16056", 1, 5, 6
"52113", 500, 1618, 2118
"14135", 528, 1946, 2474
"21633", 1, 0, 1
"39320", 581, 2075, 2656
"51184", 538, 1616, 2154
"47218", 1, 0, 1
"55159", 420, 1204, 1624
"4485", 489, 1473, 1962
"51810", 573, 1604, 2177
"19166", 1, 0, 1
"27105", 500, 1385, 1885
"5358", 1, 16, 17
"41178", 1, 10, 11
"4657", 1, 0, 1
"35432", 1, 0, 1
"6193", 1, 1, 2
"36000", 1, 5, 6
"24476", 545, 1703, 2248
"194", 1, 0, 1
"17919", 609, 1882, 2491
"59969", 553, 1638, 2191
"493", 567, 1643, 2210
"48667", 559, 1645, 2204
"26747", 1, 1, 2
"24641", 1, 2, 3
"32219", 603, 1954, 2557
"22667", 1, 2, 3
"597", 1, 7, 8
"12116", 536, 1867, 2403
"36772", 477, 1498, 1975
"8262", 1, 4, 5
"36647", 1, 2, 3
"9021", 508, 1716, 2224
"39727", 1, 4, 5
"17213", 432, 1240, 1672
"9247", 1, 0, 1
"49580", 457, 1371, 1828
"19378", 554, 1814, 2368
"22440", 490, 1460, 1950
"17197", 426, 1217, 1643
"37009", 1, 0, 1
"38472", 577, 1603, 2180
"31209", 523, 1463, 1986
"34508", 1, 8, 9
"15606", 1, 1, 2
"51333", 1, 4, 5
"14040", 1, 0, 1
"44792", 1, 1, 2
"2071", 1, 0, 1
"16781", 444, 1238, 1682
"23833", 1, 11, 12
"63576", 496, 1401, 1897
"2513", 660, 2273, 2933
"2032", 471, 1214, 1685
"43758", 1, 0, 1
"22504", 524, 1520, 2044
"55087", 1, 8, 9
"63512", 462, 1335, 1797
"8403", 1, 3, 4
"10440", 1, 0, 1
"830", 467, 1382, 1849
"16252", 461, 1423, 1884
"30800", 1, 5, 6
"1207", 1, 0, 1
"36723", 460, 1456, 1916
"5259", 1, 0, 1
"65435", 488, 1492, 1980
"12016", 1, 8, 9
"9566", 523, 1610, 2133
"16300", 487, 1462, 1949
"5398", 456, 1412, 1868
"46761", 1, 1, 2
"46038", 570, 1822, 2392
"27699", 577, 1697, 2274
"24540", 581, 1770, 2351
"23166", 1, 1, 2
"30001", 1, 177, 178
"37037", 1, 0, 1
"60621", 1, 5, 6
"560", 1, 5, 6
"26405", 1, 18, 19
"20372", 585, 2095, 2680
"25864", 1, 4, 5
"31257", 542, 1510, 2052
"38936", 512, 1456, 1968
"33420", 1, 0, 1
"16396", 519, 1547, 2066
"53480", 1, 0, 1
"18913", 501, 1405, 1906
"46583", 443, 1184, 1627
"27726", 1, 1, 2
"54032", 1, 1, 2
"22376", 460, 1395, 1855
"10315", 1, 5, 6
"12661", 538, 1663, 2201
"2705", 1, 0, 1
"48009", 465, 1402, 1867
"60572", 1, 0, 1
"49532", 435, 1330, 1765
"9979", 1, 2, 3
"61379", 534, 1759, 2293
"7579", 544, 1630, 2174
"59760", 1, 0, 1
"781", 442, 1322, 1764
"60402", 466, 1291, 1757
"5127", 555, 1586, 2141
"35543", 1, 2, 3
"9150", 589, 1905, 2494
"7430", 1, 3, 4
"21723", 1, 1, 2
"49779", 1, 4, 5
"11535", 1, 2, 3
"35461", 1, 0, 1
"15242", 404, 1115, 1519
"23724", 1, 7, 8
"990", 550, 1533, 2083
"19955", 514, 1338, 1852
"32471", 1, 0, 1
"48795", 1, 5, 6
"445", 538, 1588, 2126
"38375", 523, 1510, 2033
"27441", 1, 0, 1
"3181", 1, 0, 1
"27257", 1, 0, 1
"30071", 490, 1500, 1990
"54586", 1, 0, 1
"56779", 513, 1667, 2180
"813", 460, 1363, 1823
"62664", 1, 5, 6
"20804", 404, 1164, 1568
"27395", 1, 1, 2
"19117", 1, 8, 9
"28547", 479, 1479, 1958
"3346", 439, 1428, 1867
"13222", 582, 1903, 2485
"37317", 532, 1534, 2066
"37047", 1, 3, 4
"58479", 544, 1518, 2062
"30696", 575, 1916, 2491
"53048", 1, 21, 22
"57520", 1, 2, 3
"32370", 1, 0, 1
"12036", 1, 80, 81
"31929", 1, 2, 3
"48587", 513, 1556, 2069
"30986", 1, 0, 1
"43569", 613, 1858, 2471
"40475", 566, 1712, 2278
"39070", 1, 5, 6
"11327", 1, 0, 1
"15290", 421, 1140, 1561
"44563", 621, 1998, 2619
"43807", 1, 2, 3
"29972", 1, 3, 4
"600", 1, 0, 1
"6924", 1, 368, 369
"26992", 443, 1287, 1730
"20869", 430, 1214, 1644
"55404", 1, 1, 2
"14151", 538, 1972, 2510
"33116", 428, 1286, 1714
"39628", 1, 3, 4
"32361", 1, 6, 7
"53684", 522, 1693, 2215
"39256", 535, 1962, 2497
"63480", 446, 1307, 1753
"56827", 541, 1714, 2255
"56487", 1, 1, 2
"44874", 1, 67, 68
"56155", 1, 2, 3
"32829", 531, 1468, 1999
"14485", 1, 0, 1
"62735", 1, 1, 2
"15407", 1, 0, 1
"57308", 456, 1267, 1723
"46287", 1, 11, 12
"47673", 448, 1167, 1615
"58430", 524, 1479, 2003
"64638", 1, 3, 4
"11779", 677, 2303, 2980
"8208", 1, 4, 5
"3157", 1, 0, 1
"57356", 475, 1307, 1782
"40972", 519, 1443, 1962
"45867", 1, 2, 3
"39179", 1, 1, 2
"53870", 1, 0, 1
"37285", 513, 1502, 2015
"45973", 528, 1726, 2254
"63166", 1, 0, 1
"14664", 499, 1641, 2140
"52097", 487, 1603, 2090
"49298", 1, 0, 1
"47272", 1, 4, 5
"9906", 1, 2, 3
"47528", 396, 1080, 1476
"23353", 406, 1284, 1690
"12180", 577, 1955, 2532
"756", 1, 0, 1
"65035", 564, 1790, 2354
"8858", 1, 0, 1
"55508", 1, 1, 2
"45654", 562, 1602, 2164
"12986", 1, 0, 1
"61679", 1, 1, 2
"33915", 1, 0, 1
"8573", 582, 1968, 2550
"16332", 493, 1489, 1982
"7659", 585, 1722, 2307
"6617", 596, 1934, 2530
"4151", 1, 4, 5
"32299", 658, 2090, 2748
"29321", 1, 1, 2
"60068", 1, 1, 2
"43537", 587, 1821, 2408
"20933", 457, 1260, 1717
"27302", 1, 2, 3
"21090", 1, 14, 15
"42594", 1, 1, 2
"35713", 448, 1355, 1803
"58831", 496, 1456, 1952
"38538", 1, 5, 6
"26976", 439, 1278, 1717
"34142", 435, 1334, 1769
"52992", 1, 0, 1
"7287", 1, 0, 1
"57483", 1, 2, 3
"60353", 445, 1256, 1701
"47381", 1, 0, 1
"35665", 431, 1312, 1743
"15258", 405, 1122, 1527
"27073", 483, 1353, 1836
"41078", 1, 0, 1
"7436", 1, 0, 1
"42104", 1, 6, 7
"60158", 1, 0, 1
"37365", 559, 1586, 2145
"1607", 1, 3, 4
"38327", 496, 1460, 1956
"60995", 553, 1639, 2192
"33309", 523, 1459, 1982
"42126", 1, 7, 8
"22552", 554, 1577, 2131
"38711", 1, 0, 1
"28833", 1, 1, 2
"413", 521, 1549, 2070
"50719", 485, 1305, 1790
"5141", 1, 4, 5
"64812", 1, 1, 2
"34988", 1, 5, 6
"45493", 482, 1430, 1912
"49564", 451, 1354, 1805
"21580", 1, 0, 1
"55704", 426, 1267, 1693
"46320", 1, 0, 1
"44402", 530, 1781, 2311
"22569", 561, 1592, 2153
"15031", 1, 24, 25
"8946", 1, 30, 31
"58104", 1, 1, 2
"38294", 481, 1432, 1913
"2946", 429, 1114, 1543
"56185", 480, 1572, 2052
"58712", 1, 36, 37
"47593", 421, 1120, 1541
"55407", 1, 7, 8
"31867", 1, 3, 4
"43209", 1, 2, 3
"57372", 480, 1316, 1796
"61267", 1, 27, 28
"39866", 424, 1240, 1664
"24059", 586, 1718, 2304
"4581", 536, 1570, 2106
"6387", 1, 0, 1
"10854", 1, 0, 1
"57084", 1, 0, 1
"12805", 622, 1846, 2468
"59921", 530, 1571, 2101
"48230", 1, 0, 1
"24043", 577, 1698, 2275
"22802", 1, 2, 3
"51541", 1, 8, 9
"60883", 492, 1511, 2003
"34507", 1, 4, 5
"39304", 568, 2049, 2617
"24411", 508, 1622, 2130
"49484", 1, 0, 1
"12596", 495, 1584, 2079
"65661", 614, 1774, 2388
"58136", 1, 17, 18
"10836", 1, 0, 1
"23930", 517, 1582, 2099
"24155", 1, 2, 3
"40908", 486, 1379, 1865
"23302", 1, 1, 2
"47977", 446, 1359, 1805
"56314", 557, 1739, 2296
"40551", 1, 0, 1
"9750", 1, 3, 4
"60450", 489, 1328, 1817
"33976", 1, 0, 1
"62438", 559, 1833, 2392
"4203", 1, 0, 1
"23033", 562, 1579, 2141
"24075", 592, 1730, 2322
"21587", 1, 4, 5
"46208", 1, 0, 1
"47689", 454, 1175, 1629
"9134", 580, 1879, 2459
"63252", 1, 0, 1
"40075", 1, 0, 1
"39433", 655, 2284, 2939
"23658", 1, 0, 1
"4453", 471, 1441, 1912
"42759", 1, 13, 14
"3394", 467, 1483, 1950
"59808", 471, 1456, 1927
"30503", 1, 7, 8
"22343", 443, 1359, 1802
"54888", 572, 1719, 2291
"57015", 1, 0, 1
"1131", 1, 6, 7
"20852", 427, 1205, 1632
"21129", 1, 13, 14
"35095", 1, 0, 1
"31161", 498, 1425, 1923
"22327", 435, 1342, 1777
"18178", 1, 0, 1
"32716", 476, 1378, 1854
"41656", 1, 4, 5
"39741", 1, 5, 6
"18384", 532, 1522, 2054
"15467", 1, 0, 1
"24989", 513, 1627, 2140
"3755", 1, 3, 4
"43040", 465, 1279, 1744
"1503", 641, 2071, 2712
"41663", 1, 5, 6
"59556", 1, 0, 1
"29734", 568, 1696, 2264
"33368", 1, 0, 1
"59408", 602, 2028, 2630
"10345", 1, 0, 1
"29348", 1, 0, 1
"21991", 527, 1536, 2063
"22408", 476, 1415, 1891
"56651", 1, 0, 1
"11089", 468, 1497, 1965
"5363", 1, 89, 90
"24208", 1, 14, 15
"30038", 470, 1464, 1934
"14579", 1, 0, 1
"14874", 625, 1923, 2548
"20565", 1, 3, 4
"24223", 1, 0, 1
"35729", 459, 1369, 1828
"6381", 1, 15, 16
"65419", 477, 1469, 1946
"23979", 541, 1630, 2171
"31177", 503, 1437, 1940
"42120", 1, 0, 1
"2623", 1, 2, 3
"5559", 530, 1568, 2098
"58205", 1, 6, 7
"37301", 521, 1515, 2036
"55639", 1, 5, 6
"39449", 668, 2302, 2970
"11763", 670, 2278, 2948
"26859", 1, 4, 5
"9884", 1, 4, 5
"50254", 630, 2034, 2664
"59057", 1, 0, 1
"22472", 504, 1484, 1988
"33058", 1, 2, 3
"48806", 1, 2, 3
"42366", 530, 1894, 2424
"60466", 497, 1345, 1842
"55616", 1, 3, 4
"51136", 516, 1554, 2070
"44434", 545, 1820, 2365
"23657", 1, 0, 1
"12926", 1, 0, 1
"7919", 1, 0, 1
"10257", 452, 1136, 1588
"11012", 1, 0, 1
"35168", 444, 1323, 1767
"2595", 1, 0, 1
"4949", 461, 1388, 1849
"38590", 1, 7, 8
"61828", 493, 1725, 2218
"9101", 565, 1830, 2395
"53236", 490, 1454, 1944
"52526", 1, 5, 6
"37176", 1, 58, 59
"18897", 494, 1393, 1887
"59581", 1, 0, 1
"3956", 459, 1301, 1760
"14014", 1, 10, 11
"50222", 610, 1979, 2589
"19724", 1, 12, 13
"12276", 630, 2083, 2713
"48974", 1, 3, 4
"60001", 570, 1667, 2237
"2117", 1, 0, 1
"16316", 490, 1482, 1972
"29895", 1, 1, 2
"31080", 456, 1362, 1818
"5685", 1, 4, 5
"26095", 478, 1354, 1832
"20658", 1, 10, 11
"40876", 475, 1349, 1824
"46776", 1, 6, 7
"2368", 560, 2024, 2584
"47782", 1, 0, 1
"24363", 1, 0, 1
"62629", 1, 2, 3
"35907", 547, 1530, 2077
"63896", 486, 1639, 2125
"52872", 1, 0, 1
"52457", 1, 7, 8
"35216", 466, 1375, 1841
"45925", 499, 1660, 2159
"50671", 458, 1263, 1721
"35777", 485, 1410, 1895
"35078", 1, 2, 3
"2087", 1, 6, 7
"19923", 499, 1313, 1812
"49915", 1, 0, 1
"58334", 474, 1382, 1856
"15534", 1, 9, 10
"25885", 1, 0, 1
"50735", 492, 1312, 1804
"59472", 642, 2124, 2766
"47886", 1, 7, 8
"18961", 516, 1432, 1948
"10278", 1, 2, 3
"64375", 1, 0, 1
"2465", 627, 2196, 2823
"10047", 372, 1020, 1392
"25827", 1, 11, 12
"7114", 630, 2193, 2823
"19748", 1, 12, 13
"35232", 470, 1389, 1859
"62087", 1, 7, 8
"10063", 380, 1029, 1409
"19738", 1, 0, 1
"54116", 1, 1, 2
"30420", 1, 9, 10
"13335", 643, 2054, 2697
"10544", 481, 1606, 2087
"42147", 1, 0, 1
"33576", 1, 6, 7
"3410", 473, 1500, 1973
"21814", 436, 1355, 1791
"39898", 440, 1260, 1700
"62966", 454, 1309, 1763
"11488", 1, 11, 12
"40268", 1, 0, 1
"22488", 512, 1501, 2013
"27197", 1, 0, 1
"35761", 473, 1396, 1869
"16431", 1, 2, 3
"191", 1, 4, 5
"53300", 516, 1502, 2018
"39978", 470, 1315, 1785
"49995", 1, 0, 1
"51884", 1, 4, 5
"38455", 568, 1583, 2151
"42656", 1, 0, 1
"60947", 527, 1582, 2109
"59295", 525, 1857, 2382
"8870", 1, 1, 2
"62518", 607, 1947, 2554
"23604", 1, 0, 1
"42242", 1, 0, 1
"17277", 463, 1290, 1753
"39817", 407, 1210, 1617
"11391", 1, 1, 2
"48322", 1, 8, 9
"4222", 1, 12, 13
"13848", 554, 1539, 2093
"63383", 410, 1233, 1643
"24730", 1, 7, 8
"21878", 466, 1427, 1893
"20788", 398, 1151, 1549
"3988", 469, 1322, 1791
"27809", 1, 0, 1
"49963", 1, 1, 2
"52193", 543, 1708, 2251
"32748", 495, 1401, 1896
"58108", 1, 1, 2
"9085", 547, 1803, 2350
"55635", 1, 27, 28
"45692", 1, 2, 3
"35858", 523, 1489, 2012
"59985", 568, 1655, 2223
"23769", 1, 0, 1
"13943", 1, 0, 1
"33325", 528, 1475, 2003
"18050", 1, 0, 1
"5543", 523, 1556, 2079
"2352", 549, 2000, 2549
"20086", 1, 1, 2
"26898", 1, 0, 1
"65083", 592, 1854, 2446
"22650", 1, 17, 18
"65499", 525, 1579, 2104
"16219", 448, 1393, 1841
"59707", 1, 1, 2
"19066", 1, 0, 1
"53879", 1, 9, 10
"59505", 664, 2181, 2845
"36755", 473, 1484, 1957
"59792", 464, 1434, 1898
"10466", 1, 1, 2
"52081", 476, 1578, 2054
"25021", 533, 1662, 2195
"60552", 1, 0, 1
"7250", 1, 12, 13
"49628", 471, 1401, 1872
"38391", 536, 1522, 2058
"56068", 1, 9, 10
"26527", 539, 1703, 2242
"55002", 1, 0, 1
"30008", 1, 1, 2
"30215", 565, 1627, 2192
"58959", 555, 1582, 2137
"36606", 1, 13, 14
"10420", 1, 0, 1
"24604", 621, 1854, 2475
"42804", 1, 0, 1
"37862", 576, 1922, 2498
"17229", 445, 1250, 1695
"43643", 1, 4, 5
"37598", 1, 2, 3
"64057", 582, 1865, 2447
"14024", 1, 2, 3
"63415", 423, 1262, 1685
"44466", 563, 1865, 2428
"18990", 1, 9, 10
"45880", 1, 0, 1
"62696", 1, 3, 4
"55736", 443, 1299, 1742
"23595", 511, 1486, 1997
"41206", 1, 1, 2
"53636", 495, 1642, 2137
"5662", 1, 0, 1
"34639", 498, 1627, 2125
"50464", 1, 0, 1
"12196", 587, 1980, 2567
"33409", 1, 6, 7
"11153", 499, 1552, 2051
"8124", 567, 1794, 2361
"52929", 1, 4, 5
"42430", 570, 1995, 2565
"3598", 1, 7, 8
"17997", 1, 4, 5
"12773", 604, 1802, 2406
"62280", 1, 1, 2
"12789", 614, 1824, 2438
"35631", 1, 5, 6
"38063", 1, 14, 15
"27682", 563, 1679, 2242
"63399", 420, 1248, 1668
"38644", 1, 41, 42
"61592", 1, 4, 5
"51745", 537, 1544, 2081
"62766", 1, 0, 1
"61363", 525, 1736, 2261
"3426", 481, 1520, 2001
"14611", 1, 9, 10
"7209", 1, 0, 1
"45676", 1, 2, 3
"39833", 411, 1222, 1633
"38985", 539, 1513, 2052
"17109", 1, 3, 4
"48961", 1, 0, 1
"19265", 493, 1661, 2154
"9502", 484, 1526, 2010
"47389", 1, 0, 1
"63744", 1, 1, 2
"37846", 566, 1903, 2469
"35264", 484, 1416, 1900
"46599", 443, 1191, 1634
"59023", 1, 6, 7
"30631", 542, 1825, 2367
"5154", 1, 2, 3
"205", 1, 3, 4
"21548", 1, 9, 10
"62534", 617, 1968, 2585
"53316", 520, 1519, 2039
"64250", 1, 13, 14
"61808", 1, 5, 6
"39481", 687, 2358, 3045
"12725", 579, 1750, 2329
"24624", 1, 0, 1
"15044", 1, 1, 2
"7995", 493, 1631, 2124
"21592", 1, 6, 7
"6601", 584, 1912, 2496
"30583", 518, 1762, 2280
"27024", 458, 1314, 1772
"29867", 1, 0, 1
"56126", 1, 1, 2
"5657", 1, 6, 7
"332", 476, 1470, 1946
"39204", 1, 2, 3
